modelo,execucao,pergunta_id,pergunta,resposta,real_time_sec,gpu_percent,vram_kb
mistral_v0.1,1,1,the last time la dodgers won the world series,1988,5.662947654724121,59,5578752
mistral_v0.1,1,2,who sings ain't nothing but a good time,Owl City ft. Carly Rae Jepsen,3.4771862030029297,41,5572608
mistral_v0.1,1,3,where does the movie the sound of music take place,Austria,1.2091155052185059,38,5574656
mistral_v0.1,1,4,statue coming out of the ground in washington dc,statue of liberty,1.382969617843628,44,5573632
mistral_v0.1,1,5,field hockey is the national sport of which country,India,1.0668349266052246,39,5573632
mistral_v0.1,1,6,who governs in america’s representative democracy (republic) system,the people  through their elected representatives in congress and the president.,4.257601261138916,49,5585920
mistral_v0.1,1,7,who is the song you're my best friend about,"The Beatles - ""I Get By With a Little Help From My Friends""",4.239947319030762,42,5592064
mistral_v0.1,1,8,where was the church of latter day saints founded,Independence  Missouri,1.7890441417694092,41,5585920
mistral_v0.1,1,9,who os the father of bridget jones baby,mark darcy,1.6741724014282227,34,5575680
mistral_v0.1,1,10,who is the nationalist leader associated with the american revolution,George Washington,1.4946095943450928,27,5575680
mistral_v0.1,1,11,what color is the president of south koreas house,White,1.0662448406219482,26,5575680
mistral_v0.1,1,12,who is the security general of the un,unknown,1.1152596473693848,40,5576704
mistral_v0.1,1,13,who won the first season of the rap game,Jay-Z,1.3947055339813232,41,5576704
mistral_v0.1,1,14,actor who played tommy in terms of endearment,Tommy Vercetti,1.5265116691589355,41,5576704
mistral_v0.1,1,15,when did early voting start in the us,1975,1.822510004043579,40,5572608
mistral_v0.1,1,16,list of longest running tv shows in india,1. Mahabharata (1988-1990) - 24 years 2. Ramayana (1987-1990) - 3 years 3. Shaktimaal (1996-2007) - 11 years 4. Kuchisake Onna (1995-2005) - 10 years 5. Kasam Se Kasam (1998-2004) - 6 years 6. Hum Tum (2003-2007) - 4 years 7. Kyunki Saas Bhi Kabhi Bahu Thi (1999-2008) - 9 years 8. Yeh Hai Mohabbatein (2013-present) - 8 years and counting 9. Ishqbaaz (2015-present) - 6 years and counting 10. Kuch Isliye Koi Aaj Kal (2017-present) - 4 years and counting,52.04742622375488,30,5582848
mistral_v0.1,1,17,who wrote i will be home for christmas,Irving Berlin,1.2321710586547852,47,5570560
mistral_v0.1,1,18,icc world cup outside england first time sponsor,1,1.2251770496368408,42,5570560
mistral_v0.1,1,19,when is the draw for the european championships 2020,19th march 2020,2.929255247116089,26,5565440
mistral_v0.1,1,20,who plays the medical examiner on hawaii five-o,Max Bergman,1.4982481002807617,43,5565440
mistral_v0.1,1,21,which piece of legislation placed the protections in the european convention on human rights,The European Convention on Human Rights was adopted by the Council of Europe in 1948. It is a treaty that sets out fundamental human rights to be protected by its signatories  including the United Kingdom. The Convention has been amended several times since its adoption  with additional protections being added over time.,14.59603476524353,32,5565440
mistral_v0.1,1,22,who sang vande maataram in 1896 congress session,Rabindranath Tagore,2.077854871749878,53,5565440
mistral_v0.1,1,23,who were the sponsor of the icc world cup when it was hosted outside england for the first time,pakistan,2.173707962036133,26,5565440
mistral_v0.1,1,24,what is the most uneducated state in america,Mississippi,0.9345808029174805,44,5565440
mistral_v0.1,1,25,who makes the most tires in the world,Goodyear Tire & Rubber Company,2.278747081756592,38,5565440
mistral_v0.1,1,26,who argued with congress during the early years of reconstruction,Andrew Johnson  Ulysses S. Grant  Frederick Douglass  Sojourner Truth  Booker T. Washington  W.E.B. Du Bois,7.859171628952026,41,5565440
mistral_v0.1,1,27,in humans what determines the gender of the offspring,X and Y chromosomes  X chromosome is female determining and Y chromosome is male determining.,5.822678565979004,40,5565440
mistral_v0.1,1,28,when did rolex daytona stop using zenith movement,2000,1.9214067459106445,40,5565440
mistral_v0.1,1,29,what is the song shine bright like a diamond about,"The song ""Shine Bright Like a Diamond"" by Rihanna is about a person who is feeling down and out  but then finds hope and inspiration in the beauty of the world around them. The lyrics describe how the person's mood improves as they see the sun shining brightly and the colors of nature all around them. The song also touches on themes of self-love and confidence  with the person realizing that their own light shines just as bright as the diamond they are comparing themselves to. Overall  ""Shine Bright Like a Diamond"" is an uplifting and empowering song about finding joy and positivity in even the darkest of times.",28.26764488220215,40,5565440
mistral_v0.1,1,30,what does the valley mean in los angeles,a low-lying area between two hills or mountains  typically with a river running through it. In Los Angeles  the Valley refers to the San Fernando Valley  which is a large  mostly urbanized area located in the northwestern part of the city. The Valley is home to many neighborhoods  businesses  and attractions  including Universal Studios Hollywood  Warner Bros. Studio Tour Hollywood  and Griffith Observatory.,18.16189217567444,34,5565440
mistral_v0.1,1,31,what time period is a league of their own,1989-2004,2.7968523502349854,45,5565440
mistral_v0.1,1,32,when was harry potter and the deathly hallows part 2 movie released,July 15  2009,3.0173964500427246,40,5565440
mistral_v0.1,1,33,the man in the high castle who is he,Prince Philip  Duke of Edinburgh,1.9492638111114502,42,5565440
