modelo,pergunta_id,pergunta,resposta,real_time_sec,gpu_percent,gpu_mem_kb
mistral_v0.1,1,the last time la dodgers won the world series,1988,17.336873054504395,59,5435392
mistral_v0.1,2,who sings ain't nothing but a good time,Owl City ft. Carly Rae Jepsen,2.55513858795166,34,5434368
mistral_v0.1,3,where does the movie the sound of music take place,Austria,0.9102084636688232,28,5432320
mistral_v0.1,4,statue coming out of the ground in washington dc,statue of liberty,1.2031195163726807,33,5431296
mistral_v0.1,5,field hockey is the national sport of which country,India,0.9241020679473877,37,5431296
mistral_v0.1,6,who governs in america’s representative democracy (republic) system,the people  through their elected representatives in congress and the president.,2.9459228515625,41,5435392
mistral_v0.1,7,who is the song you're my best friend about,"The Beatles - ""I Get By With a Little Help From My Friends""",3.4262566566467285,30,5434368
mistral_v0.1,8,where was the church of latter day saints founded,Independence  Missouri,1.477970838546753,43,5433344
mistral_v0.1,9,who os the father of bridget jones baby,mark darcy,1.194692850112915,30,5433344
mistral_v0.1,10,who is the nationalist leader associated with the american revolution,George Washington,1.197676658630371,35,5438464
mistral_v0.1,11,what color is the president of south koreas house,White,1.3279008865356445,40,5439488
mistral_v0.1,12,who is the security general of the un,unknown,0.9404048919677734,40,5438464
mistral_v0.1,13,who won the first season of the rap game,Jay-Z,1.1988601684570312,39,5437440
mistral_v0.1,14,actor who played tommy in terms of endearment,Tommy Vercetti,1.4457361698150635,40,5436416
mistral_v0.1,15,when did early voting start in the us,1975,1.4682462215423584,40,5434368
mistral_v0.1,16,list of longest running tv shows in india,1. Mahabharata (1988-1990) - 24 years 2. Ramayana (1987-1990) - 3 years 3. Shaktimaal (1996-2007) - 11 years 4. Kuchisake Onna (1995-2005) - 10 years 5. Kasam Se Kasam (1998-2004) - 6 years 6. Hum Tum (2003-2007) - 4 years 7. Kahin To Kahin (1992-1996) - 4 years 8. Aaj Ka Saath Hai Zindagi (1995-1999) - 4 years 9. Hum Sabse Bada Kalank (1997-2003) - 6 years 10. Kuchh Is Liye Kuchh Hai (1998-2004) - 6 years,38.816107988357544,39,5446656
mistral_v0.1,17,who wrote i will be home for christmas,Irving Berlin,1.0707213878631592,39,5429248
mistral_v0.1,18,icc world cup outside england first time sponsor,1,1.335202693939209,28,5429248
mistral_v0.1,19,when is the draw for the european championships 2020,19th march 2020,2.7222328186035156,43,5429248
mistral_v0.1,20,who plays the medical examiner on hawaii five-o,Max Bergman,1.4357051849365234,42,5428224
mistral_v0.1,21,which piece of legislation placed the protections in the european convention on human rights,The European Convention on Human Rights was adopted by the Council of Europe in 1948  and it has been amended several times since then. The Convention places a number of protections for individuals  including freedom of speech  religion  assembly  and association  as well as protection against discrimination and arbitrary detention. It also includes provisions for the right to a fair trial and protection against torture and other forms of cruel treatment.,14.376839399337769,39,5428224
mistral_v0.1,22,who sang vande maataram in 1896 congress session,Rabindranath Tagore,1.868044137954712,33,5429248
mistral_v0.1,23,who were the sponsor of the icc world cup when it was hosted outside england for the first time,pakistan,1.5596861839294434,40,5429248
mistral_v0.1,24,what is the most uneducated state in america,Mississippi,0.9207191467285156,37,5428224
